Cereales sin grasa,porción,Fibra,Calcio,Hierro,Sodio
Elote amarrillo cocido,1 1/2 pieza (66 gramos),1.9 gramos,1.6 miligramos,0.3 miligramos,2.7 miligramos
Elote blanco cocido,1 1/2 pieza (82 gramos),2.2 gramos,1.6 miligramos,0.4 miligramos,12.2 miligramos
Espaguetti cocido,20 gramos,2.1 gramos,6.9 miligramos,0.5 miligramos,1.4 miligramos
Pasta,1/2 taza,0.1 gramos,5.4 miligramos,0.3 miligramos,0.4 miligramos
Maíz pozolero,1/3 taza,1.5 gramos,1.1 miligramos,0.3 miligramos,9.2 miligramos
Maíz palomero,20 gramos,2.4 gramos,3.4 miligramos,0.4 miligramos,0.2 miligramos
Pan de caja,1 rebanada,0.5 gramos,101.3 miligramos,1.1 miligramos,149.9 miligramos
Pan molido,8 Cucharaditas,0.3 gramos,6.2 miligramos,0.2 miligramos,95.8 miligramos
Papa cocida,1/2 pieza (68 gramos),1.2 gramos,3.5 miligramos,0.2 miligramos,2.5 miligramos
Arroz cocido,1/4 de taza,0.1 gramos,1.4 miligramos,0.7 miligramos,0.0 miligramos
Avena cocida,3/4 taza,4.3 gramos,16.4 miligramos,1.4 miligramos,1.5 miligramos
Avena en hojuelas,1/2 taza,2.0 gramos,10.4 miligramos,0.8 miligramos,0.8 miligramos
Barrita de avena,1/2 pieza (14 gramos),0.5 gramos,4.5 miligramos,0.3 miligramos,52.5 miligramos
Bolillo,1/3 pieza (20 gramos),0.7 gramos,8.3 miligramos,0.2 miligramos,112.7 miligramos
Bolillo integral,1/3 pieza (20 gramos),0.2 gramos,12.3 miligramos,0.6 miligramos,68.5 miligramos
Bolillo sin migajón,1/2 pieza (30 gramos),0.2 gramos,12.6 miligramos,0.4 miligramos,170.7 miligramos
Camote cocido,1/3 pieza (69 gramos),1.3 gramos,14.4 miligramos,0.4 miligramos,8.9 miligramos
Cereal de arroz,1/2 taza,1.1 gramos,9.1 miligramos,7.9 miligramos,2.0 miligramos
Cereal de arroz inflado con chocolate,1/2 taza,1.2 gramos,4.1 miligramos,0.2 miligramos,1.9 miligramos
