Origen animal (B),porcion,calcio,hierro,sodio
Arrachera cocida,30 gramos,5.4 miligramos,0.5 miligramos,17.1 miligramos
Bistec de ternera,35 gramos,3.9 miligramos,1.1 miligramos,31.5 miligramos
Carne molida de cerdo,40 gramos,2.4 miligramos,0.5 miligramos,32.8 miligramos
carne de cerdo,40 gramos,2.4 miligramos,0.5 miligramos,32.8 miligramos
Hígado de cerdo cocido,30 gramos,3.0 miligramos,5.4 miligramos,14.7 miligramos
Jamón de pavo,42 gramos,4.4 miligramos,1.2 miligramos,418.5 miligramos
Milanesa de cerdo,40 gramos,2.4 miligramos,0.5 miligramos,32.8 miligramos
Pescado blanco,75 gramos,10.1 miligramos,0.1 miligramos,19.7 miligramos
Queso fresco,40 gramos,273.6 miligramos,0.1 miligramos,0.0 miligramos
Queso Oaxaca lala light,30 gramos,230 miligramos,ND,190.0 miligramos
Queso panela,40 gramos,273.6 miligramos,0.1 miligramos,0.0 miligramos
